Indicatif,Pays
1649,Iles Turks Et Caicos
1650,Californie (États-Unis)
1651,Minnesota (États-Unis)
1656,Floride (États-Unis)
1657,Californie (États-Unis)
1658,Jamaïque
1659,Alabama (États-Unis)
1660,Missouri (États-Unis)
1661,Californie (États-Unis)
1662,Mississippi (États-Unis)
1664,Montserrat
1667,Maryland (États-Unis)
1669,Californie (États-Unis)
1670,États-Unis
1671,Guam (États-Unis)
1672,Colombie-Britannique (Canada)
1678,Géorgie (États-Unis)
1679,Michigan (États-Unis)
1680,New York (États-Unis)
1681,Virginie-Occidentale (États-Unis)
1682,Texas (États-Unis)
1683,Canada
1684,Samoa Américaines (États-Unis)
1689,Floride (États-Unis)
1701,Dakota Du Nord (États-Unis)
1702,Nevada (États-Unis)
1703,Virginie (États-Unis)
1704,Caroline Du Nord (États-Unis)
1705,Ontario (Canada)
1706,Géorgie (États-Unis)
1707,Californie (États-Unis)
1708,Illinois (États-Unis)
1709,Terre-Neuve-Et-Labrador (Canada)
1710,États-Unis
1712,Iowa (États-Unis)
1713,Texas (États-Unis)
1714,Californie (États-Unis)
1715,Wisconsin (États-Unis)
1716,New York (États-Unis)
1717,Pennsylvanie (États-Unis)
1718,New York (États-Unis)
1719,Colorado (États-Unis)
1720,Colorado (États-Unis)
1721,Sint Maarten
1724,Pennsylvanie (États-Unis)
1725,Nevada (États-Unis)
1726,Texas (États-Unis)
1727,Floride (États-Unis)
1730,Illinois (États-Unis)
1731,Tennessee (États-Unis)
1732,New Jersey (États-Unis)
1734,Michigan (États-Unis)
1737,Texas (États-Unis)
1740,Ohio (États-Unis)
1742,Ontario (Canada)
1743,Caroline Du Nord (États-Unis)
1747,Californie (États-Unis)
1753,Canada
1754,Floride (États-Unis)
1757,Virginie (États-Unis)
1758,Sainte Lucie
1760,Californie (États-Unis)
1762,Géorgie (États-Unis)
1763,Minnesota (États-Unis)
1764,États-Unis
1765,Indiana (États-Unis)
1767,Dominique
1769,Mississippi (États-Unis)
1770,Géorgie (États-Unis)
1771,District Of Columbia (États-Unis)
1772,Floride (États-Unis)
1773,Illinois (États-Unis)
1774,Massachusetts (États-Unis)
1775,Nevada (États-Unis)
1778,Colombie-Britannique (Canada)
1779,Illinois (États-Unis)
1780,Alberta (Canada)
1781,Massachusetts (États-Unis)
1782,Nouvelle-Écosse - Île Du Prince Édouard (Canada)
1784,Saint Vincent & Grenadines
1785,Kansas (États-Unis)
1786,Floride (États-Unis)
1787,Puerto Rico (États-Unis)
1801,Utah (États-Unis)
1802,Vermont (États-Unis)
1803,Caroline Du Sud (États-Unis)
1804,Virginie (États-Unis)
1805,Californie (États-Unis)
1806,Texas (États-Unis)
1807,Ontario (Canada)
1808,Hawaï (États-Unis)
1809,République Dominicaine
1810,Michigan (États-Unis)
1812,Indiana (États-Unis)
1813,Floride (États-Unis)
1814,Pennsylvanie (États-Unis)
1815,Illinois (États-Unis)
1816,Missouri (États-Unis)
1817,Texas (États-Unis)
1818,Californie (États-Unis)
1819,Quebec (Canada)
1820,Californie (États-Unis)
1825,Alberta (Canada)
1826,Virginie (nous)
1828,Caroline du Nord (États-Unis)
1829,République Dominicaine
1830,Texas (États-Unis)
1831,Californie (États-Unis)
1832,Texas (États-Unis)
1835,États-Unis
1838,New York (États-Unis)
1839,Caroline du Sud (États-Unis)
1840,Californie (États-Unis)
1843,Caroline du Sud (États-Unis)
1845,New York (États-Unis)
1847,Illinois (États-Unis)
1848,New Jersey (États-Unis)
1849,République Dominicaine
1850,Floride (États-Unis)
1851,Canada
1854,Caroline du Sud (États-Unis)
1856,New Jersey (États-Unis)
1857,Massachusetts (États-Unis)
1858,Californie (États-Unis)
1859,Kentucky (États-Unis)
1860,Connecticut (États-Unis)
1862,New Jersey (États-Unis)
1863,Floride (États-Unis)
1864,Caroline du Sud (États-Unis)
1865,Tennessee (États-Unis)
1867,Nunavut (Canada)
1868,Trinité-et-Tobago
1869,Saint-Kitts-et-Nevis
1870,Arkansas (États-Unis)
1871,Canada
1872,Illinois (États-Unis)
1873,"Quebec, Canada)"
1876,Jamaïque
1878,Pennsylvanie (États-Unis)
1879,Terre-Neuve-et-Labrador (Canada)
1901,Tennessee (États-Unis)
1902,Nouvelle-Écosse - Île-du-Prince-Édouard (Canada)
1903,Texas (États-Unis)
1904,Floride (États-Unis)
1905,Ontario (Canada)
1906,Michigan (États-Unis)
1907,Alaska (États-Unis)
1908,New Jersey (États-Unis)
1909,Californie (États-Unis)
1910,Caroline du Nord (États-Unis)
1912,Géorgie (États-Unis)
1913,Kansas (États-Unis)
1914,New York (États-Unis)
1915,Texas (États-Unis)
1916,Californie (États-Unis)
1917,New York (États-Unis)
1918,Oklahoma (États-Unis)
1919,Caroline du Nord (États-Unis)
1920,Wisconsin (États-Unis)
1925,Californie (États-Unis)
1928,Arizona (États-Unis)
1929,New York (États-Unis)
1930,Indiana (États-Unis)
1931,Tennessee (États-Unis)
1934,New York (États-Unis)
1935,États-Unis
1936,Texas (États-Unis)
1937,Ohio (États-Unis)
1938,Alabama (États-Unis)
1939,Porto Rico (États-Unis)
1940,Texas (États-Unis)
1941,Floride (États-Unis)
1942,Canada
1943,Géorgie (États-Unis)
1945,Texas (États-Unis)
1947,Michigan (États-Unis)
1948,Virginie (nous)
1949,Californie (États-Unis)
1951,Californie (États-Unis)
1952,Minnesota (États-Unis)
1954,Floride (États-Unis)
1956,Texas (États-Unis)
1959,Connecticut (États-Unis)
1970,Colorado (États-Unis)
1971,Oregon (États-Unis)
1972,Texas (États-Unis)
1973,New Jersey (États-Unis)
1975,Missouri (nous)
1978,Massachusetts (États-Unis)
1979,Texas (États-Unis)
1980,Caroline du Nord (États-Unis)
1984,Caroline du Nord (États-Unis)
1985,Louisiane (États-Unis)
1986,Idaho (États-Unis)
1989,Michigan (États-Unis)
